experiment,architecture,f1_mean,f1_std,acc_mean,acc_std,num_seeds
baseline_es,baseline,0.43845221943783813,0.05626507433333955,0.8348484848484847,0.0384054298655654,5
baseline_it,baseline,0.8428091027247527,0.0489858027190874,0.9423312883435582,0.019689333172860347,5
final_es,dual_encoder,0.4232847688709758,0.047662170773333866,0.7545454545454545,0.0157094252676725,5
final_es,lgbt_pretrain,0.826487354379467,0.030121796705305178,0.7878787878787878,0.031691667671745284,5
final_it,dual_encoder,0.8029237071172555,0.043399287148952075,0.923926380368098,0.017674675203543454,5
final_it,lgbt_pretrain,0.8119767243240064,0.014171293767914706,0.758282208588957,0.02237372089424597,5
